annotator_id,reliability_score,num_annotations,dataset
1,0.9411893031957724,19,hate_speech
100,0.9773083681978987,16,hate_speech
1000,0.9196400365299249,17,hate_speech
10000,0.9999999999808296,12,hate_speech
10001,0.8096889527855562,20,hate_speech
10002,0.8468634832977269,22,hate_speech
10004,0.6873840729198938,15,hate_speech
10005,0.8730197054163111,22,hate_speech
10006,0.842950902139036,15,hate_speech
10007,0.5398521194824942,9,hate_speech
10008,0.9997908639675346,19,hate_speech
10009,0.6602692241628352,16,hate_speech
1001,0.8416056023858128,20,hate_speech
10010,0.999999999963745,10,hate_speech
10011,0.9126794582686231,22,hate_speech
10012,0.9999998940131221,15,hate_speech
10016,0.8595838846954462,22,hate_speech
10017,0.822735092862904,17,hate_speech
10019,0.8805489411906511,20,hate_speech
1002,0.5904144229468622,11,hate_speech
10020,0.9655117185028981,7,hate_speech
10023,0.8871072993092455,17,hate_speech
10025,0.8820341284381865,21,hate_speech
10026,0.7627158118847652,18,hate_speech
10027,0.8749999999745324,7,hate_speech
10028,0.7831708891628428,18,hate_speech
10029,0.714350749643937,15,hate_speech
1003,0.9999999999778498,22,hate_speech
10030,0.7415966600366141,19,hate_speech
10033,0.999999999980646,21,hate_speech
10035,0.9999999999525637,10,hate_speech
10036,0.9104589295346451,15,hate_speech
10037,0.818916300833771,17,hate_speech
10038,0.8516051169743452,19,hate_speech
1004,0.9865263954012911,15,hate_speech
10042,0.7857990962213508,20,hate_speech
10043,0.999999999962488,12,hate_speech
10044,0.8749999999406355,11,hate_speech
10045,0.9057454362212194,19,hate_speech
10046,0.9284544874919256,18,hate_speech
10047,0.9999999999610979,18,hate_speech
10048,0.9302458525277199,15,hate_speech
10049,0.9286814828888785,15,hate_speech
1005,0.7638909405526071,18,hate_speech
10053,0.9999999859643569,15,hate_speech
10054,0.6621620684923608,17,hate_speech
10055,0.649311986318311,11,hate_speech
10057,0.7877452179737123,17,hate_speech
10059,0.9999999999569857,13,hate_speech
10060,0.9999999910370956,20,hate_speech
10062,0.9999999999828473,14,hate_speech
10063,0.75751031185223,17,hate_speech
10064,0.8167475269162061,12,hate_speech
10065,0.9976267934791596,20,hate_speech
10066,0.8481370772917238,17,hate_speech
10067,0.8682431132605375,17,hate_speech
10069,0.8414727774284436,21,hate_speech
1007,0.9999999999510709,14,hate_speech
10070,0.8774516924317888,17,hate_speech
10071,0.8952496589420418,20,hate_speech
10072,0.9971281803832726,17,hate_speech
10073,0.8454689984300935,12,hate_speech
10074,0.999999999975839,14,hate_speech
10075,0.9999370196888951,12,hate_speech
10076,0.8677262684850686,17,hate_speech
10077,0.9371157585676995,21,hate_speech
10078,0.8999999999847199,17,hate_speech
1008,0.4929301049756861,19,hate_speech
10081,0.9282132044073805,19,hate_speech
10082,0.8754176241593077,21,hate_speech
10086,0.8256849615019862,16,hate_speech
10089,0.8020566292183127,18,hate_speech
10090,0.9999999999464815,12,hate_speech
10092,0.9904397417505497,19,hate_speech
10094,0.8908932325464956,16,hate_speech
10096,0.6903677003819411,8,hate_speech
10097,0.7864392962049265,13,hate_speech
10098,0.9999999999824902,16,hate_speech
10099,0.9122021105316065,17,hate_speech
101,0.8199182050242604,15,hate_speech
1010,0.8517926995389515,19,hate_speech
10100,0.8950378455842527,16,hate_speech
10101,0.8594806031931426,21,hate_speech
10102,0.8872603287247696,16,hate_speech
10103,0.9999999808932581,8,hate_speech
10104,0.49999999999430356,21,hate_speech
10105,0.8494024963212347,12,hate_speech
10106,0.6848801102859512,22,hate_speech
10107,0.9224743099146976,14,hate_speech
10108,0.6731811011346601,15,hate_speech
10109,0.9477572894986479,20,hate_speech
1011,0.9237144318056851,21,hate_speech
10110,0.6010462498865909,21,hate_speech
10111,0.910449316833867,25,hate_speech
10112,0.6785714285618686,11,hate_speech
10113,0.793763172267776,20,hate_speech
10114,0.925525615888812,18,hate_speech
10115,0.6927742012306868,19,hate_speech
10117,0.8360069933806931,11,hate_speech
10119,0.9999999125508914,15,hate_speech
10121,0.7492053628877045,20,hate_speech
10123,0.9999999999045954,16,hate_speech
10124,0.9999999999828572,12,hate_speech
10126,0.9489511243768707,23,hate_speech
10127,0.9999999997917428,17,hate_speech
10130,0.9999998976612848,22,hate_speech
10131,0.9999999999165381,11,hate_speech
10133,0.8430882120478744,12,hate_speech
10134,0.7419162910739785,17,hate_speech
10135,0.9999999999277462,16,hate_speech
10136,0.6233757568294241,12,hate_speech
10137,0.6985702405210144,18,hate_speech
10138,0.9999999999395042,19,hate_speech
10139,0.9197806816836658,17,hate_speech
10140,0.7542752721385695,16,hate_speech
10141,0.8498537358016724,10,hate_speech
10142,0.8788063273231566,19,hate_speech
10143,0.9397353956940764,20,hate_speech
10144,0.9999995763486664,20,hate_speech
10145,0.8521024835493471,18,hate_speech
10146,0.9101140758284176,19,hate_speech
10147,0.7874174055219834,19,hate_speech
10149,0.9634108696551578,20,hate_speech
10150,0.8281699823076565,16,hate_speech
10151,0.9110312966391418,14,hate_speech
10152,0.7784176070485385,19,hate_speech
10154,0.8841149941990966,13,hate_speech
10156,0.7286907992223869,19,hate_speech
10157,0.6284019768341014,13,hate_speech
10158,0.8267160050472733,18,hate_speech
10161,0.8904082920002756,16,hate_speech
10162,0.81884268672534,13,hate_speech
10164,0.7738372996205876,24,hate_speech
10165,0.9999999999877626,19,hate_speech
10166,0.8040610477124088,23,hate_speech
10168,0.9999999999611502,16,hate_speech
10169,0.8603173663203789,21,hate_speech
1017,0.8598271541379325,15,hate_speech
10170,0.8857741383279885,15,hate_speech
10171,0.9999999999596703,7,hate_speech
10172,0.9133269656917636,17,hate_speech
10173,0.865206132442332,15,hate_speech
10174,0.9014574151181334,24,hate_speech
10175,0.968390722622879,22,hate_speech
10176,0.7870852838978601,15,hate_speech
10177,0.9088560905445421,16,hate_speech
10178,0.9674469229727004,20,hate_speech
10179,0.9999999999750557,15,hate_speech
1018,0.9999950450474653,12,hate_speech
10181,0.7670177909874143,22,hate_speech
10183,0.9618319921505069,13,hate_speech
10184,0.9374999999498911,18,hate_speech
10186,0.5972836358831864,21,hate_speech
10188,0.8636093027151099,17,hate_speech
1019,0.6659175574578265,15,hate_speech
10192,0.9999999995717211,21,hate_speech
10194,0.8776427652462526,19,hate_speech
10195,0.9240542416812552,17,hate_speech
10197,0.8933964056216375,18,hate_speech
10198,0.8468732178582496,21,hate_speech
